"id","relacionados","name","description","precio","imagen","categorias","linkPago","subcategorias","oferta"
5008,"5018 5016 5015 5014 5013 5012 5011 5010 5009 5007 5006 5000","COLCHA DOHLER PROVENCA QUEEN C/FUNDA - AZUL MARINO","7900033036553 COLCHA DOHLER TAMAÑO QUEEN SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 240x250cm + 2 FUNDA 50x70cm.","3000.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_QUEEN_C/FUNDA_-_AZUL_MARINO_c957f112-6344-11f0-abb1-0242ac110002/c95640e2-6344-11f0-abb1-0242ac110002.jpg","Cama",,,
5007,"5018 5016 5015 5014 5013 5011 5010 5009 5008 5006","COLCHA DOHLER PROVENCA FULL C/FUNDA - AZUL MARINO","7900033036645 COLCHA DOHLER TAMAÑO 2 PLAZAS - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 220x250cm + 2 FUNDAS 50x70cm.","2775.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_FULL_C/FUNDA_-_AZUL_MARINO_77087ecc-6344-11f0-9674-0242ac110002/7706e846-6344-11f0-9674-0242ac110002.jpg","Cama",,,
5006,"5018 5016 5015 5014 5013 5012 5011 5010 5009 5008 5007","COLCHA DOHLER PROVENCA TWIN C/FUNDA - AZUL MARINO","7900033036706 COLCHA DOHLER TAMAÑO 1 PLAZA - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 160x250cm + 1 FUNDA 50x70cm.","1950.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_TWIN_C/FUNDA_-_AZUL_MARINO_504714f6-6344-11f0-8f94-0242ac110002/50456cdc-6344-11f0-8f94-0242ac110002.jpg","Cama",,,
1563,"3468","JUEGO SABANA QUEEN SIZE RICHMOND LISA - BLANCO","7730784124632 JUEGO DE SABANA QUEEN SIZE. SABANA SUPERIOR: 240x225cm, SABANA AJUSTABLE: 160x200+30cm, 2 FUNDAS: 50x70cm. 100% MICROFIBRA. GRAN CALIDAD - TOQUE SUAVE, NO DESTIÑE.","1200.75","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/JUEGO_SABANA_QUEEN_SIZE_RICHMOND_LISA_-_BLANCO_a13323f8-1d9d-11ee-988b-0242ac110002/7730784124632.jpg","Cama",,,
3468,"1563","JUEGO SABANA QUEEN SIZE RICHMOND LISA - JADE","7730784138097 JUEGO DE SABANA QUEEN SIZE. SABANA SUPERIOR: 240x225cm, SABANA AJUSTABLE: 160x200+30cm, 2 FUNDAS: 50x70cm. 100% MICROFIBRA. GRAN CALIDAD - TOQUE SUAVE, NO DESTIÑE.","1200.75","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/JUEGO_SABANA_QUEEN_SIZE_RICHMOND_LISA_-_JADE_6c026572-f5dd-11ee-aab3-0242ac110002/6c010f42-f5dd-11ee-aab3-0242ac110002.jpg","Cama",,,
5005,"5018 5013 5004 5003 5002 5001","COLCHA DOHLER PROVENCA KING - VERDE AGUA","7900033036591 COLCHA DOHLER TAMAÑO KING SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 280x250cm + 2 FUNDA 50x70cm.","3150.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_KING_-_VERDE_AGUA_bec40d66-61b0-11f0-abb1-0242ac110002/bec25d36-61b0-11f0-abb1-0242ac110002.jpg","Cama",,,
5004,"5016 5012 5005 5003 5002 5000","COLCHA DOHLER PROVENCA QUEEN - VERDE AGUA","7900033036539 COLCHA DOHLER TAMAÑO QUEEN SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 240x250cm + 2 FUNDA 50x70cm.","3000.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_QUEEN_-_VERDE_AGUA_9aa2c5b2-61b0-11f0-9674-0242ac110002/9aa110b4-61b0-11f0-9674-0242ac110002.jpg","Cama",,,
5003,"5015 5011 5005 5004 5002 4999","COLCHA DOHLER PROVENCA FULL - VERDE AGUA","7900033036621 COLCHA DOHLER TAMAÑO 2 PLAZAS - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 220x250cm + 2 FUNDAS 50x70cm.","2775.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_FULL_-_VERDE_AGUA_76ffdb54-61b0-11f0-abb1-0242ac110002/76fe25d4-61b0-11f0-abb1-0242ac110002.jpg","Cama",,,
5002,"5014 5010 5005 5004 5003 4998","COLCHA DOHLER PROVENCA TWIN - VERDE AGUA","7900033036683 COLCHA DOHLER TAMAÑO 1 PLAZA - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 160x250cm + 1 FUNDA 50x70cm.","1950.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_TWIN_-_VERDE_AGUA_506e6a96-61b0-11f0-9674-0242ac110002/506c7d62-61b0-11f0-9674-0242ac110002.jpg","Cama",,,
5001,"5018 5013 5005 5000 4999 4998","COLCHA DOHLER PROVENCA KING - BLANCO","7900033036584 COLCHA DOHLER TAMAÑO KING SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 280x250cm + 2 FUNDA 50x70cm.","3150.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_KING_-_BLANCO_33370424-61a6-11f0-9674-0242ac110002/3335a638-61a6-11f0-9674-0242ac110002.jpg","Cama",,,
